id,text_norm,is_humor,humor_clip,humor_controversy,offense_clip,tok_len,char_len,is_dup_exact,is_too_short,has_ctrl_char
6638,Met gayla.,1,1.15,0.0,1.35,3,10,False,True,False
1675,Fortune Nookie. Classic,1,0.67,0.0,0.35,4,23,False,False,False
5430,I hereby declare these 2016 Olympic Games Oilfishery open haha,1,0.5,0.0,0.05,10,62,False,False,False
408,all gay people open this ㅤㅤ god is a woman,1,0.27,0.0,1.35,10,42,False,False,False
537,What do you call a sad strawberry? A blueberry corny,1,0.74,0.0,0.0,11,52,False,False,False
2859,Reminds me of scene from Jaws.... LOL,1,0.6,0.0,0.0,11,37,False,False,False
1187,What do you call a cowshed in Arabic? A Mubarak,1,0.47,0.0,0.35,11,47,False,False,False
2936,What is a terrorist his favourite car? A Citroen C4 h,1,0.65,0.0,1.65,12,53,False,False,False
3442,What is a perfect society formed by a Asian called? A Yutopia,1,0.75,0.0,1.4,13,61,False,False,False
4562,Tinder is the Night' Update A Fitzgerald Novel Hashtags With Only One Response,1,0.7,0.0,0.0,14,78,False,False,False
4343,What did the Muslim bring to the Holiday party? Falafel and hummus.,1,0.53,0.0,0.85,14,67,False,False,False
4314,Eminem is afraid of giraffes. He doesn't like their necks.,1,0.4,0.0,0.0,14,58,False,False,False
4462,I do believe that “pithy” is the faggiest word possible in existence.,1,0.8,1.0,2.9,15,69,False,False,False
2115,What are ways we can address toxic masculinity amongst studs? Auntie Red Tweet Tea,1,0.7,0.0,0.7,15,82,False,False,False
2118,What do a coffee shop and a Japanese castle siege have in common? Baristas,1,0.7,0.0,0.45,15,74,False,False,False
7160,What does Arnold Schwarzenegger call a colonoscopy? A Cameron Diaz Say It Out Loud,1,0.56,0.0,0.25,15,82,False,False,False
1796,Kim Petras on Sept 30th: woo ah! Kim Petras on Oct 1st: boo ah!,1,0.69,0.0,0.0,18,63,False,False,False
5257,I think I might need a shave and a football kick soon.... stay tuned,1,0.67,0.0,0.0,18,68,False,False,False
103,Did you find it difficult being queer in a Black Greek Letter Org? Auntie Red Tweet Tea,1,0.27,0.0,0.95,18,87,False,False,False
6696,Reverse 180 what?!!! Yeah...that happened!!! Supernatura I,1,0.1,0.0,0.0,18,58,False,False,False
5859,They say life is short but I’ve seen Olympus Has Fallen twice and loved it both times,1,0.69,0.0,0.0,19,85,False,False,False
7799,Looks like Dean has a nice alliance...or maybe not so nice. Haha. Crap,1,0.67,0.0,0.1,19,70,False,False,False
5015,Cas must have eaten that old turkey sandwich Dean was keeping in the fridge. Sorry pal. indigestion,1,0.58,0.0,0.0,19,99,False,False,False
6899,What are some ways that the community can organize to support aging queer elders? Auntie Red Tweet Tea,1,0.5,0.0,0.8,19,102,False,False,False
1421,Hopefully no one ever sees those shorts I was actually wearing. Too Short 4 Dean Wheres The Beer Baby,1,0.71,0.0,0.0,20,101,False,False,False
5058,I busted my nose earlier today... I suppose women can call the aftermath a hot mess.,1,0.59,0.0,0.6,20,84,False,False,False
5212,thank god our app has the explore feature so i can search for my own London Boy 😼🇬🇧,1,0.45,0.0,0.4,20,83,False,False,False
4403,Deanmon goes back for the porn mag after the kill... Classic. Good call Bob Singer.,1,0.41,0.0,0.45,20,83,False,False,False
956,When Chromatica II transitions to 911... I’ve never felt more gay and alive!!,1,0.1,0.0,0.45,20,77,False,False,False
5765,Gotta love a little dumpster diving to really thicken the plot! Haha...I kill myself. Wait.,1,0.72,1.0,0.3,22,91,False,False,False
6170,I was watching one of my old cholo adventures videos and i didn't even laugh once! I laughed a bunch,1,0.8,0.0,0.15,23,100,False,False,False
