id,text_norm,humor_clip,offense_clip,humor_controversy
85,"A lumberjack went in to a magic forest to cut a tree. When he got there, he started to swing at a tree when it suddenly shouted, ""Wait! I'm a talking tree!"" The lumberjack laughed and said, ""And you will dialogue.""",3.58,0.0,1.0
550,"I saw my wife, slightly drunk, yelling at the TV: 'Don't go in there! Don't go in the church, you moron!' She's watching our wedding video again.",3.5,0.05,1.0
674,"Just seen a burglar kicking his own door in. I asked: ""What are you doing?"" He said: ""Working from home.""",3.7,0.0,0.0
687,"I yelled, 'COW!' at a woman on a bike as she rode by. She looked at me, gave me the finger, and turned back around and promptly plowed her bike into the cow. Well, I tried.",3.68,1.1,0.0
718,"My dad thought it would be a good idea to show my girlfriend my baby photos. ""You haven't changed at all."" she laughed. ""That's enough of the naked ones, please."" I told him.",3.55,0.3,1.0
839,"My wife just gave birth today and after thanking the doctor, I pulled him aside and sheepishly asked, ""How soon do you think we'll be able to have sex?"" He winked at me and said: ""I'm off duty in 10 minutes - meet me in the car park.""",3.65,0.35,1.0
974,A dog may well be a man's best friend but a cat will never tell the police where your marijuana is.,3.85,0.05,0.0
1547,My son Luke loves that we named our children after Star Wars characters. My daughter Chewbacca not so much.,4.0,0.0,0.0
1585,"I signed up for my company's 401k, but I don't think I can run that far.",3.6,0.0,0.0
1770,Misspell one word and the whole text is urined,3.79,0.0,0.0
1902,I wish I could see what it was like to be fat for just one day. I'm tired of being fat every day.,3.6,0.6,0.0
2194,When she asks you if she looks fat and you reply noo but it autocorrects to moo....,3.5,1.4,1.0
2202,"A dying man looks up into his wife's eyes and says, ""Honey, before I go I have something I need to tell you."" To which she replies, ""I already know, dear. That's why I poisoned you.""",3.5,0.35,0.0
2218,"My dad told me ""Son if you don't stop masturbating you'll go blind"" I told him ""Dad I'm over here""",3.85,1.0,0.0
2269,What do you call a ghost's boobies? Paranormal entitties.,3.58,0.4,1.0
2310,"My ex left me because, according to her, I'll never amount to anything. 15 years later, I have one thing to say to her. Lucky guess.",3.5,0.0,0.0
2377,"A woman noticed her husband standing on the bathroom scale sucking in his stomach. ""Ha! That's not going to help,"" she said. ""Sure, it does,"" he said. ""It's the only way I can see the numbers.""",3.75,0.5,0.0
2578,"A Mexican magician tells the audience he is going to disappear on the count of 3. He says ""uno, dos..."" and POOF! He disappeared without a tres.",3.53,0.3,0.0
2892,A shipment of Viagra was hijacked on its way to the depot. The police are warning citizens to be on the look out for a gang of hardened criminals.,3.53,0.45,1.0
3332,My boss hates it when I shorten his name to Dick Mostly because his name is Steve,3.84,0.2,0.0
3469,A thief broke into my house last night looking for money. So I got out of bed to look with him.,3.53,0.1,1.0
3676,What did the elephant say to the naked man? How do you breathe through that tiny thing?,3.55,0.5,0.0
4066,"Just burned 2,000 calories. That's the last time I leave brownies in the oven while I nap.",3.8,0.0,0.0
4261,I wonder whether transparent coffins will ever catch on Remains to be seen,3.5,0.1,1.0
4708,"My wife told me to take a spider out instead of killing it. We went and had drinks. Cool guy, wants to be a web designer.",3.55,0.0,1.0
5126,"Right before I die, if my life flashes before my eyes, I hope there aren't 30 second ads before each section.",3.6,0.1,1.0
5189,"I asked my wife for the newspaper, but she said, ""Just use my iPad."" That spider never knew what hit it.",3.68,0.2,1.0
5597,My wife caught me cheating last night and i feel so ashamed and full of regret. She's never going to play monopoly with me again!,3.55,0.0,0.0
5654,My wife says I only have 2 faults. I don't listen - and something else...,3.65,0.0,0.0
6515,I was wondering what my parents did without the internet. None of my 13 siblings could tell me,3.65,0.0,0.0
6600,I just got hired at a company that makes bicycle wheels!! I'm the spokesperson.,4.0,0.0,0.0
6833,Just learned the word for constipation in German. Farfrompoopen.,3.56,0.25,0.0
6840,"I washed the car with my 5 year old son today. When we finished, he said, ""Next time dad, can you use a sponge?""",3.6,0.0,1.0
6903,My wife and I laugh at how competitive we are. But I laugh more.,3.6,0.0,0.0
7095,Whoever stole my anti depressants. I hope you're happy now.,3.75,0.2,0.0
7151,"An elderly couple is in church. The wife says to the husband, ""I've let out one of those silent farts, what do I do?"" The husband says, ""Change the battery in your hearing aid.""",3.53,0.1,1.0
7250,"WIFE: you're so overly dramatic ME: no i'm not [10 hired backup singers burst through the wall shouting ""no he's not""] dammit guys, not now",3.68,0.0,0.0
7352,I buy my guns from a guy named T-Rex He's a small arms dealer.,3.5,0.0,0.0
7353,My boss told me to have a good day. So I went home.,3.6,0.0,0.0
7380,Got a new job at the guillotine factory. I'll beheading there shortly.,3.6,0.25,1.0
7578,I've been prescribed anti-gloating cream. I can't wait to rub it in.,3.5,0.0,0.0
7588,"My IT guy just asked, ""How does a computer get drunk?"" It takes screen shots.",3.5,0.0,1.0
7627,"I saw a ""news"" report about this guy in India who was born with five penises. *His underwear fits like a glove.*",3.5,0.7,0.0
7832,I wasnn't allowed in a fraternity in college because I was circumcised. Apparently you need to be a complete dick.,3.6,1.25,0.0
7994,My daughter wanted a Cinderella themed birthday party. So I made her and all her friends clean the house for 2 hours.,3.7,0.0,0.0
