id,text,is_humor,humor_rating,humor_controversy,offense_rating,text_norm,tok_len,char_len,missing_any_label,humor_clip,offense_clip,humor_round,offense_round
103,Did you find it difficult being queer in a Black Greek Letter Org? Auntie Red Tweet Tea,1,0.27,0.0,0.95,Did you find it difficult being queer in a Black Greek Letter Org? Auntie Red Tweet Tea,18,87,False,0.27,0.95,0,1
122,A parody of The Mandalorian but it’s The Mindalorian? Am I’m in the whole costume but doing Mindy-type stuff?,1,0.56,0.0,0.2,A parody of The Mandalorian but it’s The Mindalorian? Am I’m in the whole costume but doing Mindy-type stuff?,27,109,False,0.56,0.2,1,0
408,all gay people open this ㅤㅤ god is a woman,1,0.27,0.0,1.35,all gay people open this ㅤㅤ god is a woman,10,42,False,0.27,1.35,0,1
537,What do you call a sad strawberry? A blueberry corny,1,0.74,0.0,0.0,What do you call a sad strawberry? A blueberry corny,11,52,False,0.74,0.0,1,0
798,"It's exciting that the LA Dodgers will be playing in the World Series, unless of course their pilots get picked up.",1,0.78,0.0,0.05,"It's exciting that the LA Dodgers will be playing in the World Series, unless of course their pilots get picked up.",25,115,False,0.78,0.05,1,0
956,When Chromatica II transitions to 911... I’ve never felt more gay and alive!!,1,0.1,0.0,0.45,When Chromatica II transitions to 911... I’ve never felt more gay and alive!!,20,77,False,0.1,0.45,0,0
991,Remember everyone who said “we’ll have to see in the fall”? Ya that’s in 2 weeks.,1,0.27,0.0,0.0,Remember everyone who said “we’ll have to see in the fall”? Ya that’s in 2 weeks.,24,81,False,0.27,0.0,0,0
1187,What do you call a cowshed in Arabic? A Mubarak,1,0.47,0.0,0.35,What do you call a cowshed in Arabic? A Mubarak,11,47,False,0.47,0.35,0,0
1421,Hopefully no one ever sees those shorts I was actually wearing. Too Short 4 Dean Wheres The Beer Baby,1,0.71,0.0,0.0,Hopefully no one ever sees those shorts I was actually wearing. Too Short 4 Dean Wheres The Beer Baby,20,101,False,0.71,0.0,1,0
1446,Remember collect calls y'all?'Heard you walkin around town in your drawers' made me Love Is,1,0.33,0.0,0.0,Remember collect calls y'all?'Heard you walkin around town in your drawers' made me Love Is,23,93,False,0.33,0.0,0,0
1675,Fortune Nookie. Classic,1,0.67,0.0,0.35,Fortune Nookie. Classic,4,23,False,0.67,0.35,1,0
1761,I'm leaving for two week and willl not have any internet service. Get me too 1000 followers by the next two weeks and ill save relationships,1,0.45,1.0,0.15,I'm leaving for two week and willl not have any internet service. Get me too 1000 followers by the next two weeks and ill save relationships,29,140,False,0.45,0.15,0,0
1796,Kim Petras on Sept 30th: woo ah! Kim Petras on Oct 1st: boo ah!,1,0.69,0.0,0.0,Kim Petras on Sept 30th: woo ah! Kim Petras on Oct 1st: boo ah!,18,63,False,0.69,0.0,1,0
1883,"As an Queer parent, what's the best way to come out to your teenage children? Auntie Red Tweet Tea",1,0.7,0.0,0.35,"As an Queer parent, what's the best way to come out to your teenage children? Auntie Red Tweet Tea",23,98,False,0.7,0.35,1,0
2115,What are ways we can address toxic masculinity amongst studs? Auntie Red Tweet Tea,1,0.7,0.0,0.7,What are ways we can address toxic masculinity amongst studs? Auntie Red Tweet Tea,15,82,False,0.7,0.7,1,1
2117,My buddy Kirk was the waiter...can anyone spot the real blood pouring out of his head behind his ear? Took one for the team! Thanks again!,1,0.64,0.0,0.05,My buddy Kirk was the waiter...can anyone spot the real blood pouring out of his head behind his ear? Took one for the team! Thanks again!,33,138,False,0.64,0.05,1,0
2118,What do a coffee shop and a Japanese castle siege have in common? Baristas,1,0.7,0.0,0.45,What do a coffee shop and a Japanese castle siege have in common? Baristas,15,74,False,0.7,0.45,1,0
2422,me: hey do you have the time? my clock is wrong clock: all i'm saying is why isn't there a white panther,1,0.8,0.0,0.95,me: hey do you have the time? my clock is wrong clock: all i'm saying is why isn't there a white panther,29,104,False,0.8,0.95,1,1
2859,Reminds me of scene from Jaws.... LOL,1,0.6,0.0,0.0,Reminds me of scene from Jaws.... LOL,11,37,False,0.6,0.0,1,0
2936,What is a terrorist his favourite car? A Citroen C4 h,1,0.65,0.0,1.65,What is a terrorist his favourite car? A Citroen C4 h,12,53,False,0.65,1.65,1,2
3048,11 y/o Daughter: [opens xmas present] uh..cable ties? Wife: she asked for a pony.. Me: a pony? ..SHE CAN'T EVEN LOOK AFTER HER CABLES LINDA,1,0.68,0.0,0.0,11 y/o Daughter: [opens xmas present] uh..cable ties? Wife: she asked for a pony.. Me: a pony? ..SHE CAN'T EVEN LOOK AFTER HER CABLES LINDA,43,139,False,0.68,0.0,1,0
3442,What is a perfect society formed by a Asian called? A Yutopia,1,0.75,0.0,1.4,What is a perfect society formed by a Asian called? A Yutopia,13,61,False,0.75,1.4,1,1
3657,"Apparently the scenes where ""Dean becomes a woman""..they just simply used the ""Sam"" wig. Instant chick hair. Get it?",1,0.68,0.0,0.2,"Apparently the scenes where ""Dean becomes a woman""..they just simply used the ""Sam"" wig. Instant chick hair. Get it?",29,116,False,0.68,0.2,1,0
4314,Eminem is afraid of giraffes. He doesn't like their necks.,1,0.4,0.0,0.0,Eminem is afraid of giraffes. He doesn't like their necks.,14,58,False,0.4,0.0,0,0
4343,What did the Muslim bring to the Holiday party? Falafel and hummus.,1,0.53,0.0,0.85,What did the Muslim bring to the Holiday party? Falafel and hummus.,14,67,False,0.53,0.85,1,1
4403,Deanmon goes back for the porn mag after the kill... Classic. Good call Bob Singer.,1,0.41,0.0,0.45,Deanmon goes back for the porn mag after the kill... Classic. Good call Bob Singer.,20,83,False,0.41,0.45,0,0
4457,Queer Irishman Sean: Did ya here the one about the queer Irishman? Brian: No. Sean: Seems he was spotted leaving the pub at 11 o'clock with a girl. Brian: So? Sean: Closing time's one.,1,0.68,0.0,1.3,Queer Irishman Sean: Did ya here the one about the queer Irishman? Brian: No. Sean: Seems he was spotted leaving the pub at 11 o'clock with a girl. Brian: So? Sean: Closing time's one.,48,184,False,0.68,1.3,1,1
4462,I do believe that “pithy” is the faggiest word possible in existence.,1,0.8,1.0,2.9,I do believe that “pithy” is the faggiest word possible in existence.,15,69,False,0.8,2.9,1,3
4562,Tinder is the Night' Update A Fitzgerald Novel Hashtags With Only One Response,1,0.7,0.0,0.0,Tinder is the Night' Update A Fitzgerald Novel Hashtags With Only One Response,14,78,False,0.7,0.0,1,0
4833,How sad to hear about mem fox . She is my boys favorite author. I guess possum magic is too extremist? Or 10 fingers and toes too diverse?,1,0.18,0.0,0.1,How sad to hear about mem fox . She is my boys favorite author. I guess possum magic is too extremist? Or 10 fingers and toes too diverse?,31,138,False,0.18,0.1,0,0
4905,Twins and mama bear are napping... Time to practice my COD skills so I could stop being a burden to teams ¥º.... .....oooh I hurt my own feelings ­,1,0.79,0.0,0.2,Twins and mama bear are napping... Time to practice my COD skills so I could stop being a burden to teams ¥º.... .....oooh I hurt my own feelings ­,45,150,False,0.79,0.2,1,0
5015,Cas must have eaten that old turkey sandwich Dean was keeping in the fridge. Sorry pal. indigestion,1,0.58,0.0,0.0,Cas must have eaten that old turkey sandwich Dean was keeping in the fridge. Sorry pal. indigestion,19,99,False,0.58,0.0,1,0
5058,I busted my nose earlier today... I suppose women can call the aftermath a hot mess.,1,0.59,0.0,0.6,I busted my nose earlier today... I suppose women can call the aftermath a hot mess.,20,84,False,0.59,0.6,1,1
5212,thank god our app has the explore feature so i can search for my own London Boy 😼🇬🇧,1,0.45,0.0,0.4,thank god our app has the explore feature so i can search for my own London Boy 😼🇬🇧,20,83,False,0.45,0.4,0,0
5257,I think I might need a shave and a football kick soon.... stay tuned,1,0.67,0.0,0.0,I think I might need a shave and a football kick soon.... stay tuned,18,68,False,0.67,0.0,1,0
5430,I hereby declare these 2016 Olympic Games Oilfishery open haha,1,0.5,0.0,0.05,I hereby declare these 2016 Olympic Games Oilfishery open haha,10,62,False,0.5,0.05,0,0
