id,text_norm,is_humor,humor_rating,humor_controversy,offense_rating,humor_round
408,all gay people open this ㅤㅤ god is a woman,1,0.27,0.0,1.35,0
1761,I'm leaving for two week and willl not have any internet service. Get me too 1000 followers by the next two weeks and ill save relationships,1,0.45,1.0,0.15,0
4403,Deanmon goes back for the porn mag after the kill... Classic. Good call Bob Singer.,1,0.41,0.0,0.45,0
4833,How sad to hear about mem fox . She is my boys favorite author. I guess possum magic is too extremist? Or 10 fingers and toes too diverse?,1,0.18,0.0,0.1,0
6899,What are some ways that the community can organize to support aging queer elders? Auntie Red Tweet Tea,1,0.5,0.0,0.8,0
1187,What do you call a cowshed in Arabic? A Mubarak,1,0.47,0.0,0.35,0
956,When Chromatica II transitions to 911... I’ve never felt more gay and alive!!,1,0.1,0.0,0.45,0
7321,Right said Fred gets me every time! Haha. You go Deanmon now put a shirt on. What the hell?,1,0.3,0.0,0.0,0
5212,thank god our app has the explore feature so i can search for my own London Boy 😼🇬🇧,1,0.45,0.0,0.4,0
4314,Eminem is afraid of giraffes. He doesn't like their necks.,1,0.4,0.0,0.0,0
5844,How can you tell if a groom is Polish? He would be the one with the clean bowling shirt.,1,1.2,1.0,1.1,1
1410,We were all talking about our favorite holidays so I said 'Onion Day' and everybody just stared at me blankly. I don't know how much longer I can take this big city life. I miss the farm. I miss my onnies.,1,1.4,1.0,0.0,1
4950,"Hey guys just a polite reminder, if you promised to love your spouse 24/7. Today is 24/7 ",1,1.31,0.0,0.0,1
7345,What do you call a magician who has lost their magic? Ian.,1,1.21,0.0,0.15,1
5926,Q. What do you call 1000 heavily armed lesbians? A. Militia Etheridge,1,1.1,0.0,2.15,1
2810,"""Doctor Doctor, I feel like a pair of curtains.."" I advised him to contact Facebook to set it as one of the gender options on the sign up menu.",1,1.28,0.0,1.25,1
1720,This is the THIRD time I've found Jeff Goldblum in a box of Kellogg's Raisin Bran.,1,0.89,0.0,0.0,1
214,What do they call mosquitoes in Pakistan? Churchitoes,1,1.3,0.0,1.1,1
4080,"Callie: ""Are you okay?"" Arizona: ""Do I look okay?!""",1,1.33,1.0,0.0,1
6462,"When my son was younger, my wife made sure to enroll him into lots of different musical-theatre, singing, and ballet classes. I felt very strongly against all this, but ultimately all these lessons made my son into what he became today... A massive fucking faggot.",1,1.38,0.0,3.95,1
2735,When I was younger I used to learn a new word and then find ways to awkwardly shoehorn it into conversation. Talk about a classic bildungsroman.,1,2.11,1.0,0.0,2
1976,"The other day my dad said 'I love you like a son' which, once you run it through the dad emotional de-encryption machine, is actually pretty nice.",1,2.0,0.0,0.0,2
565,30 days hath September Same for some months that I can't remember A bunch of the months have 31 They need a better rhyme that rhyme is dumb,1,2.1,1.0,0.0,2
3229,"*Lady gives balloon to my son* ME: What do u say? SON: I WILL CRUSH MY ENEMIES ME: *nervous laughter* No, the other thing SON: Oh. Thank you",1,1.95,0.0,0.0,2
4320,"A priest, minister, and rabbi walk into a bar... It hurt",1,2.15,1.0,0.85,2
6814,That awkward moment when the nurse is examining your balls and she asks you to stop running your fingers through her hair.,1,2.45,1.0,1.8,2
5740,I left my wife because she was obsessed with counting. I wonder what she's up to now.,1,1.95,1.0,0.0,2
441,What do you call an Irish man sitting in his garden? Paddy O'Furniture. haha,1,2.42,1.0,0.8,2
6846,"An Englishman, an Irishman, a Scotsman, a priest, a rabbi and Adolf Hitler walk into a bar. The bartender says, ""What is this, some kind of joke?""",1,1.75,0.0,0.55,2
350,Did you hear about the Leper going for the masturbation world record? Eventually he pulled it off!,1,2.05,1.0,1.3,2
2172,"I personally think that beekeeper suits are ugly as hell, but hey... Beauty is in the eye of the beeholder.",1,3.06,1.0,0.0,3
1597,"""You don't open up bras very often do you?"" she asked me.... ""No"" I replied, ""What gave it away?"" ""The scissors...""",1,2.84,0.0,0.0,3
3600,What do you do if you find a black mamba in your toilet? Wait until he's finished.,1,2.55,1.0,1.35,3
2643,"Dad, can you tell me what a solar eclipse is like? No, sun.",1,3.1,1.0,0.0,3
353,The two most popular gifts women receive on Valentine's Day are a box of things that make her fat and a bouquet of things she can watch die.,1,2.7,0.0,0.5,3
4892,"For a date tonight, my wife and I will spend 90 mins looking for a movie to watch that I will fall asleep in the first 5 mins of.",1,2.53,1.0,0.05,3
6241,"Wife: honey I want you to whisper dirty things in my ear! Husband: kitchen, living room, dining room, patio...",1,3.2,1.0,0.3,3
2664,How does NASA organize a party? They planet.,1,2.7,1.0,0.0,3
6390,"some people have pointed out that at a state level, alabama doesn't refer to their assembly as ""congress"" so i'll use the correct term: klan meeting",1,3.0,1.0,1.75,3
2584,I once knew a girl who confused a tube of KY jelly... for a tube of super glue. I asked her how it happened... her lips were sealed.,1,3.45,1.0,0.65,3
5336,"My wife is doing a sponsored parachute jump tomorrow and I am genuinely terrified that the chute won't open. The last time something that big hit the earth, the fucking dinosaurs got wiped out.",1,3.74,0.0,1.95,4
