id,text,is_humor,humor_rating,humor_controversy,offense_rating,text_norm,tok_len,char_len,missing_any_label,humor_clip,offense_clip,humor_round,offense_round
85,"A lumberjack went in to a magic forest to cut a tree. When he got there, he started to swing at a tree when it suddenly shouted, ""Wait! I'm a talking tree!"" The lumberjack laughed and said, ""And you will dialogue.""",1,3.58,1.0,0.0,"A lumberjack went in to a magic forest to cut a tree. When he got there, he started to swing at a tree when it suddenly shouted, ""Wait! I'm a talking tree!"" The lumberjack laughed and said, ""And you will dialogue.""",54,214,False,3.58,0.0,4,0
550,"I saw my wife, slightly drunk, yelling at the TV: 'Don't go in there! Don't go in the church, you moron!' She's watching our wedding video again.",1,3.5,1.0,0.05,"I saw my wife, slightly drunk, yelling at the TV: 'Don't go in there! Don't go in the church, you moron!' She's watching our wedding video again.",42,145,False,3.5,0.05,4,0
674,"Just seen a burglar kicking his own door in. I asked: ""What are you doing?"" He said: ""Working from home.""",1,3.7,0.0,0.0,"Just seen a burglar kicking his own door in. I asked: ""What are you doing?"" He said: ""Working from home.""",29,105,False,3.7,0.0,4,0
687,"I yelled, 'COW!' at a woman on a bike as she rode by. She looked at me, gave me the finger, and turned back around and promptly plowed her bike into the cow. Well, I tried.",1,3.68,0.0,1.1,"I yelled, 'COW!' at a woman on a bike as she rode by. She looked at me, gave me the finger, and turned back around and promptly plowed her bike into the cow. Well, I tried.",46,172,False,3.68,1.1,4,1
718,"My dad thought it would be a good idea to show my girlfriend my baby photos. ""You haven't changed at all."" she laughed. ""That's enough of the naked ones, please."" I told him.",1,3.55,1.0,0.3,"My dad thought it would be a good idea to show my girlfriend my baby photos. ""You haven't changed at all."" she laughed. ""That's enough of the naked ones, please."" I told him.",47,174,False,3.55,0.3,4,0
839,"My wife just gave birth today and after thanking the doctor, I pulled him aside and sheepishly asked, ""How soon do you think we'll be able to have sex?"" He winked at me and said: ""I'm off duty in 10 minutes - meet me in the car park.""",1,3.65,1.0,0.35,"My wife just gave birth today and after thanking the doctor, I pulled him aside and sheepishly asked, ""How soon do you think we'll be able to have sex?"" He winked at me and said: ""I'm off duty in 10 minutes - meet me in the car park.""",61,234,False,3.65,0.35,4,0
974,A dog may well be a man's best friend but a cat will never tell the police where your marijuana is.,1,3.85,0.0,0.05,A dog may well be a man's best friend but a cat will never tell the police where your marijuana is.,24,99,False,3.85,0.05,4,0
1547,My son Luke loves that we named our children after Star Wars characters. My daughter Chewbacca not so much.,1,4.0,0.0,0.0,My son Luke loves that we named our children after Star Wars characters. My daughter Chewbacca not so much.,21,107,False,4.0,0.0,4,0
1585,"I signed up for my company's 401k, but I don't think I can run that far.",1,3.6,0.0,0.0,"I signed up for my company's 401k, but I don't think I can run that far.",22,72,False,3.6,0.0,4,0
1770,Misspell one word and the whole text is urined,1,3.79,0.0,0.0,Misspell one word and the whole text is urined,9,46,False,3.79,0.0,4,0
1902,I wish I could see what it was like to be fat for just one day. I'm tired of being fat every day.,1,3.6,0.0,0.6,I wish I could see what it was like to be fat for just one day. I'm tired of being fat every day.,27,97,False,3.6,0.6,4,1
2194,When she asks you if she looks fat and you reply noo but it autocorrects to moo....,1,3.5,1.0,1.4,When she asks you if she looks fat and you reply noo but it autocorrects to moo....,21,83,False,3.5,1.4,4,1
2202,"A dying man looks up into his wife's eyes and says, ""Honey, before I go I have something I need to tell you."" To which she replies, ""I already know, dear. That's why I poisoned you.""",1,3.5,0.0,0.35,"A dying man looks up into his wife's eyes and says, ""Honey, before I go I have something I need to tell you."" To which she replies, ""I already know, dear. That's why I poisoned you.""",51,182,False,3.5,0.35,4,0
2218,"My dad told me ""Son if you don't stop masturbating you'll go blind"" I told him ""Dad I'm over here""",1,3.85,0.0,1.0,"My dad told me ""Son if you don't stop masturbating you'll go blind"" I told him ""Dad I'm over here""",30,98,False,3.85,1.0,4,1
2269,What do you call a ghost's boobies? Paranormal entitties.,1,3.58,1.0,0.4,What do you call a ghost's boobies? Paranormal entitties.,13,57,False,3.58,0.4,4,0
2310,"My ex left me because, according to her, I'll never amount to anything. 15 years later, I have one thing to say to her. Lucky guess.",1,3.5,0.0,0.0,"My ex left me because, according to her, I'll never amount to anything. 15 years later, I have one thing to say to her. Lucky guess.",34,132,False,3.5,0.0,4,0
2377,"A woman noticed her husband standing on the bathroom scale sucking in his stomach. ""Ha! That's not going to help,"" she said. ""Sure, it does,"" he said. ""It's the only way I can see the numbers.""",1,3.75,0.0,0.5,"A woman noticed her husband standing on the bathroom scale sucking in his stomach. ""Ha! That's not going to help,"" she said. ""Sure, it does,"" he said. ""It's the only way I can see the numbers.""",54,193,False,3.75,0.5,4,0
2578,"A Mexican magician tells the audience he is going to disappear on the count of 3. He says ""uno, dos..."" and POOF! He disappeared without a tres.",1,3.53,0.0,0.3,"A Mexican magician tells the audience he is going to disappear on the count of 3. He says ""uno, dos..."" and POOF! He disappeared without a tres.",36,144,False,3.53,0.3,4,0
2892,A shipment of Viagra was hijacked on its way to the depot. The police are warning citizens to be on the look out for a gang of hardened criminals.,1,3.53,1.0,0.45,A shipment of Viagra was hijacked on its way to the depot. The police are warning citizens to be on the look out for a gang of hardened criminals.,31,146,False,3.53,0.45,4,0
3332,My boss hates it when I shorten his name to Dick Mostly because his name is Steve,1,3.84,0.0,0.2,My boss hates it when I shorten his name to Dick Mostly because his name is Steve,17,81,False,3.84,0.2,4,0
3469,A thief broke into my house last night looking for money. So I got out of bed to look with him.,1,3.53,1.0,0.1,A thief broke into my house last night looking for money. So I got out of bed to look with him.,23,95,False,3.53,0.1,4,0
3676,What did the elephant say to the naked man? How do you breathe through that tiny thing?,1,3.55,0.0,0.5,What did the elephant say to the naked man? How do you breathe through that tiny thing?,19,87,False,3.55,0.5,4,0
4066,"Just burned 2,000 calories. That's the last time I leave brownies in the oven while I nap.",1,3.8,0.0,0.0,"Just burned 2,000 calories. That's the last time I leave brownies in the oven while I nap.",23,90,False,3.8,0.0,4,0
4261,I wonder whether transparent coffins will ever catch on Remains to be seen,1,3.5,1.0,0.1,I wonder whether transparent coffins will ever catch on Remains to be seen,13,74,False,3.5,0.1,4,0
4708,"My wife told me to take a spider out instead of killing it. We went and had drinks. Cool guy, wants to be a web designer.",1,3.55,1.0,0.0,"My wife told me to take a spider out instead of killing it. We went and had drinks. Cool guy, wants to be a web designer.",30,121,False,3.55,0.0,4,0
5126,"Right before I die, if my life flashes before my eyes, I hope there aren't 30 second ads before each section.",1,3.6,1.0,0.1,"Right before I die, if my life flashes before my eyes, I hope there aren't 30 second ads before each section.",26,109,False,3.6,0.1,4,0
5189,"I asked my wife for the newspaper, but she said, ""Just use my iPad."" That spider never knew what hit it.",1,3.68,1.0,0.2,"I asked my wife for the newspaper, but she said, ""Just use my iPad."" That spider never knew what hit it.",27,104,False,3.68,0.2,4,0
5597,My wife caught me cheating last night and i feel so ashamed and full of regret. She's never going to play monopoly with me again!,1,3.55,0.0,0.0,My wife caught me cheating last night and i feel so ashamed and full of regret. She's never going to play monopoly with me again!,29,129,False,3.55,0.0,4,0
5654,My wife says I only have 2 faults. I don't listen - and something else...,1,3.65,0.0,0.0,My wife says I only have 2 faults. I don't listen - and something else...,21,73,False,3.65,0.0,4,0
6515,I was wondering what my parents did without the internet. None of my 13 siblings could tell me,1,3.65,0.0,0.0,I was wondering what my parents did without the internet. None of my 13 siblings could tell me,19,94,False,3.65,0.0,4,0
6600,I just got hired at a company that makes bicycle wheels!! I'm the spokesperson.,1,4.0,0.0,0.0,I just got hired at a company that makes bicycle wheels!! I'm the spokesperson.,19,79,False,4.0,0.0,4,0
6833,Just learned the word for constipation in German. Farfrompoopen.,1,3.56,0.0,0.25,Just learned the word for constipation in German. Farfrompoopen.,11,64,False,3.56,0.25,4,0
6840,"I washed the car with my 5 year old son today. When we finished, he said, ""Next time dad, can you use a sponge?""",1,3.6,1.0,0.0,"I washed the car with my 5 year old son today. When we finished, he said, ""Next time dad, can you use a sponge?""",31,112,False,3.6,0.0,4,0
6903,My wife and I laugh at how competitive we are. But I laugh more.,1,3.6,0.0,0.0,My wife and I laugh at how competitive we are. But I laugh more.,16,64,False,3.6,0.0,4,0
7095,Whoever stole my anti depressants. I hope you're happy now.,1,3.75,0.0,0.2,Whoever stole my anti depressants. I hope you're happy now.,14,59,False,3.75,0.2,4,0
7151,"An elderly couple is in church. The wife says to the husband, ""I've let out one of those silent farts, what do I do?"" The husband says, ""Change the battery in your hearing aid.""",1,3.53,1.0,0.1,"An elderly couple is in church. The wife says to the husband, ""I've let out one of those silent farts, what do I do?"" The husband says, ""Change the battery in your hearing aid.""",46,177,False,3.53,0.1,4,0
7250,"WIFE: you're so overly dramatic ME: no i'm not [10 hired backup singers burst through the wall shouting ""no he's not""] dammit guys, not now",1,3.68,0.0,0.0,"WIFE: you're so overly dramatic ME: no i'm not [10 hired backup singers burst through the wall shouting ""no he's not""] dammit guys, not now",38,139,False,3.68,0.0,4,0
7352,I buy my guns from a guy named T-Rex He's a small arms dealer.,1,3.5,0.0,0.0,I buy my guns from a guy named T-Rex He's a small arms dealer.,19,62,False,3.5,0.0,4,0
7353,My boss told me to have a good day. So I went home.,1,3.6,0.0,0.0,My boss told me to have a good day. So I went home.,15,51,False,3.6,0.0,4,0
7380,Got a new job at the guillotine factory. I'll beheading there shortly.,1,3.6,1.0,0.25,Got a new job at the guillotine factory. I'll beheading there shortly.,16,70,False,3.6,0.25,4,0
7578,I've been prescribed anti-gloating cream. I can't wait to rub it in.,1,3.5,0.0,0.0,I've been prescribed anti-gloating cream. I can't wait to rub it in.,20,68,False,3.5,0.0,4,0
7588,"My IT guy just asked, ""How does a computer get drunk?"" It takes screen shots.",1,3.5,1.0,0.0,"My IT guy just asked, ""How does a computer get drunk?"" It takes screen shots.",20,77,False,3.5,0.0,4,0
7627,"I saw a ""news"" report about this guy in India who was born with five penises. *His underwear fits like a glove.*",1,3.5,0.0,0.7,"I saw a ""news"" report about this guy in India who was born with five penises. *His underwear fits like a glove.*",28,112,False,3.5,0.7,4,1
7832,I wasnn't allowed in a fraternity in college because I was circumcised. Apparently you need to be a complete dick.,1,3.6,0.0,1.25,I wasnn't allowed in a fraternity in college because I was circumcised. Apparently you need to be a complete dick.,24,114,False,3.6,1.25,4,1
7994,My daughter wanted a Cinderella themed birthday party. So I made her and all her friends clean the house for 2 hours.,1,3.7,0.0,0.0,My daughter wanted a Cinderella themed birthday party. So I made her and all her friends clean the house for 2 hours.,24,117,False,3.7,0.0,4,0
